Date,Symbols,Ticker,market_name,value,index_perc_change
2019-07-04,^GSPTSE,S&P/TSX Composite index,Canada,16588.900390625,0.0007662294418271376
2019-07-05,^GSPTSE,S&P/TSX Composite index,Canada,16542.0,-0.0028272151571604454
2019-07-08,^GSPTSE,S&P/TSX Composite index,Canada,16463.0,-0.004775722403578819
2019-07-09,^GSPTSE,S&P/TSX Composite index,Canada,16545.19921875,0.004992967183988339
2019-07-10,^GSPTSE,S&P/TSX Composite index,Canada,16563.30078125,0.0010940673642350074
2019-07-11,^GSPTSE,S&P/TSX Composite index,Canada,16527.900390625,-0.002137278740060866
2019-07-12,^GSPTSE,S&P/TSX Composite index,Canada,16488.099609375,-0.0024080966311108565
2019-07-15,^GSPTSE,S&P/TSX Composite index,Canada,16510.80078125,0.0013768216115150889
2019-07-16,^GSPTSE,S&P/TSX Composite index,Canada,16502.400390625,-0.0005087815385999006
2019-07-17,^GSPTSE,S&P/TSX Composite index,Canada,16484.19921875,-0.001102940871883118
2019-07-18,^GSPTSE,S&P/TSX Composite index,Canada,16494.19921875,0.0006066415400163283
2019-07-19,^GSPTSE,S&P/TSX Composite index,Canada,16485.900390625,-0.0005031361641106846
2019-07-22,^GSPTSE,S&P/TSX Composite index,Canada,16518.900390625,0.0020017105052245743
