state,market_name,month,uempl_rate,uempl_mom,uempl_mom_%
NV,Nevada,2020-04-01,0.301,0.23199999999999998,3.36231884057971
NV,Nevada,2020-05-01,0.253,-0.04799999999999999,-0.15946843853820591
NV,Nevada,2020-06-01,0.152,-0.101,-0.39920948616600793
NV,Nevada,2020-07-01,0.142,-0.010000000000000009,-0.06578947368421062
NV,Nevada,2020-08-01,0.133,-0.00899999999999998,-0.06338028169014076
NV,Nevada,2020-09-01,0.125,-0.008000000000000007,-0.06015037593984962
NV,Nevada,2020-10-01,0.11900000000000001,-0.0059999999999999915,-0.04799999999999993
NV,Nevada,2020-11-01,0.10400000000000001,-0.015,-0.12605042016806722
NV,Nevada,2020-12-01,0.092,-0.01200000000000001,-0.11538461538461553
NY,New York,2020-01-01,0.038,,
NY,New York,2020-02-01,0.037000000000000005,-0.000999999999999994,-0.02631578947368407
NY,New York,2020-03-01,0.040999999999999995,0.00399999999999999,0.10810810810810789
NY,New York,2020-04-01,0.153,0.112,2.731707317073171
NY,New York,2020-05-01,0.145,-0.008000000000000007,-0.05228758169934644
NY,New York,2020-06-01,0.156,0.01100000000000001,0.07586206896551739
NY,New York,2020-07-01,0.159,0.0030000000000000027,0.019230769230769162
NY,New York,2020-08-01,0.125,-0.034,-0.21383647798742145
NY,New York,2020-09-01,0.09699999999999999,-0.02800000000000001,-0.2240000000000001
NY,New York,2020-10-01,0.092,-0.0049999999999999906,-0.05154639175257725
NY,New York,2020-11-01,0.084,-0.007999999999999993,-0.08695652173913038
NY,New York,2020-12-01,0.08199999999999999,-0.0020000000000000157,-0.023809523809523947
OH,Ohio,2020-01-01,0.040999999999999995,,
OH,Ohio,2020-02-01,0.040999999999999995,0.0,0.0
OH,Ohio,2020-03-01,0.057999999999999996,0.017,0.41463414634146356
OH,Ohio,2020-04-01,0.17600000000000002,0.11800000000000002,2.03448275862069
OH,Ohio,2020-05-01,0.139,-0.037000000000000005,-0.2102272727272727
OH,Ohio,2020-06-01,0.11,-0.029000000000000012,-0.2086330935251799
OH,Ohio,2020-07-01,0.09,-0.020000000000000004,-0.18181818181818188
OH,Ohio,2020-08-01,0.08900000000000001,-0.000999999999999987,-0.01111111111111096
OH,Ohio,2020-09-01,0.083,-0.006000000000000005,-0.0674157303370787
OH,Ohio,2020-10-01,0.061,-0.022000000000000006,-0.2650602409638555
OH,Ohio,2020-11-01,0.057,-0.003999999999999997,-0.06557377049180324
OH,Ohio,2020-12-01,0.055,-0.0020000000000000018,-0.03508771929824561
OK,Oklahoma,2020-01-01,0.033,,
OK,Oklahoma,2020-02-01,0.032,-0.0010000000000000009,-0.030303030303030276
OK,Oklahoma,2020-03-01,0.028999999999999998,-0.0030000000000000027,-0.09375000000000011
OK,Oklahoma,2020-04-01,0.147,0.118,4.068965517241379
OK,Oklahoma,2020-05-01,0.126,-0.02099999999999999,-0.1428571428571428
OK,Oklahoma,2020-06-01,0.064,-0.062,-0.4920634920634921
OK,Oklahoma,2020-07-01,0.071,0.006999999999999992,0.10937499999999978
OK,Oklahoma,2020-08-01,0.057,-0.013999999999999992,-0.19718309859154914
OK,Oklahoma,2020-09-01,0.054000000000000006,-0.0029999999999999957,-0.05263157894736836
OK,Oklahoma,2020-10-01,0.062,0.007999999999999993,0.14814814814814792
OK,Oklahoma,2020-11-01,0.061,-0.0010000000000000009,-0.016129032258064502
OK,Oklahoma,2020-12-01,0.053,-0.008,-0.1311475409836066
OR,Oregon,2020-01-01,0.033,,
OR,Oregon,2020-02-01,0.033,0.0,0.0
OR,Oregon,2020-03-01,0.035,0.0020000000000000018,0.06060606060606055
OR,Oregon,2020-04-01,0.149,0.11399999999999999,3.2571428571428562
OR,Oregon,2020-05-01,0.14300000000000002,-0.005999999999999978,-0.04026845637583876
OR,Oregon,2020-06-01,0.11599999999999999,-0.027000000000000024,-0.18881118881118897
OR,Oregon,2020-07-01,0.10400000000000001,-0.011999999999999983,-0.10344827586206884
OR,Oregon,2020-08-01,0.085,-0.019000000000000003,-0.1826923076923077
OR,Oregon,2020-09-01,0.079,-0.006000000000000005,-0.07058823529411773
OR,Oregon,2020-10-01,0.068,-0.010999999999999996,-0.1392405063291139
OR,Oregon,2020-11-01,0.06,-0.008000000000000007,-0.11764705882352955
OR,Oregon,2020-12-01,0.064,0.0040000000000000036,0.06666666666666665
PA,Pennsylvania,2020-01-01,0.047,,
PA,Pennsylvania,2020-02-01,0.047,0.0,0.0
PA,Pennsylvania,2020-03-01,0.057999999999999996,0.010999999999999996,0.23404255319148937
PA,Pennsylvania,2020-04-01,0.161,0.10300000000000001,1.7758620689655173
PA,Pennsylvania,2020-05-01,0.134,-0.026999999999999996,-0.16770186335403725
PA,Pennsylvania,2020-06-01,0.132,-0.0020000000000000018,-0.014925373134328401
PA,Pennsylvania,2020-07-01,0.125,-0.007000000000000006,-0.053030303030303094
PA,Pennsylvania,2020-08-01,0.10400000000000001,-0.02099999999999999,-0.16799999999999993
PA,Pennsylvania,2020-09-01,0.083,-0.021000000000000005,-0.20192307692307698
PA,Pennsylvania,2020-10-01,0.07400000000000001,-0.008999999999999994,-0.10843373493975894
PA,Pennsylvania,2020-11-01,0.068,-0.006000000000000005,-0.08108108108108114
PA,Pennsylvania,2020-12-01,0.067,-0.0010000000000000009,-0.014705882352941235
RI,Rhode Island,2020-01-01,0.034,,
RI,Rhode Island,2020-02-01,0.034,0.0,0.0
RI,Rhode Island,2020-03-01,0.047,0.012999999999999998,0.38235294117647056
RI,Rhode Island,2020-04-01,0.18100000000000002,0.134,2.8510638297872344
RI,Rhode Island,2020-05-01,0.16399999999999998,-0.017000000000000043,-0.09392265193370186
RI,Rhode Island,2020-06-01,0.126,-0.03799999999999998,-0.2317073170731706
RI,Rhode Island,2020-07-01,0.113,-0.012999999999999998,-0.10317460317460314
RI,Rhode Island,2020-08-01,0.129,0.016,0.1415929203539823
RI,Rhode Island,2020-09-01,0.105,-0.024000000000000007,-0.18604651162790697
RI,Rhode Island,2020-10-01,0.071,-0.034,-0.3238095238095239
RI,Rhode Island,2020-11-01,0.073,0.0020000000000000018,0.028169014084507005
RI,Rhode Island,2020-12-01,0.081,0.008000000000000007,0.1095890410958904
SC,South Carolina,2020-01-01,0.024,,
SC,South Carolina,2020-02-01,0.025,0.0010000000000000009,0.04166666666666674
SC,South Carolina,2020-03-01,0.032,0.006999999999999999,0.28
SC,South Carolina,2020-04-01,0.128,0.096,3.0
SC,South Carolina,2020-05-01,0.124,-0.0040000000000000036,-0.03125
SC,South Carolina,2020-06-01,0.087,-0.037000000000000005,-0.2983870967741936
SC,South Carolina,2020-07-01,0.087,0.0,0.0
SC,South Carolina,2020-08-01,0.064,-0.022999999999999993,-0.2643678160919539
SC,South Carolina,2020-09-01,0.052000000000000005,-0.011999999999999997,-0.1875
SC,South Carolina,2020-10-01,0.042,-0.010000000000000002,-0.1923076923076923
SC,South Carolina,2020-11-01,0.044000000000000004,0.0020000000000000018,0.04761904761904767
SC,South Carolina,2020-12-01,0.046,0.001999999999999995,0.045454545454545414
SD,South Dakota,2020-01-01,0.034,,
SD,South Dakota,2020-02-01,0.033,-0.0010000000000000009,-0.02941176470588236
SD,South Dakota,2020-03-01,0.031,-0.0020000000000000018,-0.06060606060606066
SD,South Dakota,2020-04-01,0.109,0.078,2.5161290322580645
SD,South Dakota,2020-05-01,0.094,-0.015,-0.13761467889908252
SD,South Dakota,2020-06-01,0.07200000000000001,-0.021999999999999992,-0.23404255319148926
SD,South Dakota,2020-07-01,0.064,-0.008000000000000007,-0.11111111111111116
SD,South Dakota,2020-08-01,0.048,-0.016,-0.25
SD,South Dakota,2020-09-01,0.040999999999999995,-0.007000000000000006,-0.14583333333333348
SD,South Dakota,2020-10-01,0.037000000000000005,-0.00399999999999999,-0.09756097560975585
SD,South Dakota,2020-11-01,0.035,-0.0020000000000000018,-0.05405405405405406
SD,South Dakota,2020-12-01,0.03,-0.0050000000000000044,-0.14285714285714302
TN,Tennessee,2020-01-01,0.033,,
TN,Tennessee,2020-02-01,0.034,0.0010000000000000009,0.030303030303030276
TN,Tennessee,2020-03-01,0.033,-0.0010000000000000009,-0.02941176470588236
TN,Tennessee,2020-04-01,0.155,0.122,3.6969696969696964
TN,Tennessee,2020-05-01,0.11,-0.045,-0.29032258064516125
TN,Tennessee,2020-06-01,0.096,-0.013999999999999999,-0.1272727272727272
TN,Tennessee,2020-07-01,0.09699999999999999,0.000999999999999987,0.010416666666666519
TN,Tennessee,2020-08-01,0.086,-0.010999999999999996,-0.11340206185567003
